Time,Date,Humidity (%),Temp (C)
930047,07-09-2021_18.26.36,78.1,25.8
930077,07-09-2021_18.27.06,78.2,25.9
930107,07-09-2021_18.27.36,78.2,25.8
930137,07-09-2021_18.28.06,78.2,25.9
930167,07-09-2021_18.28.36,78.2,25.9
930197,07-09-2021_18.29.06,78.2,25.8
930227,07-09-2021_18.29.36,78.2,25.8
930257,07-09-2021_18.30.06,78.2,25.9
930287,07-09-2021_18.30.36,78.1,25.9
930317,07-09-2021_18.31.06,78.0,25.9
930347,07-09-2021_18.31.36,77.9,25.9
930377,07-09-2021_18.32.06,78.0,25.9
930408,07-09-2021_18.32.36,77.9,25.9
930438,07-09-2021_18.33.06,77.7,25.9
930468,07-09-2021_18.33.36,77.6,25.9
930498,07-09-2021_18.34.06,77.6,25.9
930528,07-09-2021_18.34.36,77.6,25.9
930558,07-09-2021_18.35.06,77.3,25.9
930588,07-09-2021_18.35.36,77.3,25.9
930618,07-09-2021_18.36.06,77.3,25.9
930648,07-09-2021_18.36.36,77.5,25.9
930678,07-09-2021_18.37.06,77.6,25.9
930708,07-09-2021_18.37.36,77.6,25.9
930738,07-09-2021_18.38.06,77.5,25.9
930768,07-09-2021_18.38.36,77.3,25.8
930798,07-09-2021_18.39.06,77.2,25.9
930828,07-09-2021_18.39.37,77.2,25.9
930858,07-09-2021_18.40.07,77.3,25.9
930888,07-09-2021_18.40.37,77.2,25.8
930918,07-09-2021_18.41.07,77.2,25.8
930948,07-09-2021_18.41.37,77.3,25.8
930978,07-09-2021_18.42.07,77.3,25.9
931008,07-09-2021_18.42.37,77.0,25.8
931038,07-09-2021_18.43.07,77.0,25.9
931068,07-09-2021_18.43.37,76.9,25.8
931098,07-09-2021_18.44.07,76.8,25.8
931128,07-09-2021_18.44.37,76.7,25.8
931158,07-09-2021_18.45.07,76.9,25.9
931188,07-09-2021_18.45.37,76.8,25.8
931219,07-09-2021_18.46.07,76.8,25.8
931249,07-09-2021_18.46.37,76.7,25.8
931279,07-09-2021_18.47.07,76.9,25.9
931309,07-09-2021_18.47.37,76.9,25.9
931339,07-09-2021_18.48.07,76.9,25.8
931369,07-09-2021_18.48.37,76.9,25.9
931399,07-09-2021_18.49.07,76.8,25.9
931429,07-09-2021_18.49.37,76.7,25.8
931459,07-09-2021_18.50.07,76.7,25.8
931489,07-09-2021_18.50.37,76.5,25.8
931519,07-09-2021_18.51.07,76.4,25.8
931549,07-09-2021_18.51.37,76.4,25.8
931579,07-09-2021_18.52.07,76.3,25.8
931609,07-09-2021_18.52.37,76.4,25.8
931639,07-09-2021_18.53.08,76.3,25.8
931669,07-09-2021_18.53.38,76.3,25.8
931699,07-09-2021_18.54.08,76.3,25.8
931729,07-09-2021_18.54.38,76.4,25.8
931759,07-09-2021_18.55.08,76.4,25.8
931789,07-09-2021_18.55.38,76.6,25.9
931819,07-09-2021_18.56.08,76.4,25.9
931849,07-09-2021_18.56.38,76.3,25.8
931879,07-09-2021_18.57.08,76.3,25.8
931909,07-09-2021_18.57.38,76.3,25.8
931939,07-09-2021_18.58.08,76.4,25.9
931969,07-09-2021_18.58.38,76.3,25.8
932000,07-09-2021_18.59.08,76.3,25.8
932030,07-09-2021_18.59.38,76.3,25.8
932060,07-09-2021_19.00.08,76.3,25.9
932090,07-09-2021_19.00.38,76.3,25.8
932120,07-09-2021_19.01.08,76.2,25.8
932150,07-09-2021_19.01.38,76.0,25.8
932180,07-09-2021_19.02.08,76.0,25.8
932210,07-09-2021_19.02.38,76.0,25.8
932240,07-09-2021_19.03.08,76.0,25.8
932270,07-09-2021_19.03.38,76.0,25.8
932300,07-09-2021_19.04.08,76.0,25.8
932330,07-09-2021_19.04.38,75.9,25.8
932360,07-09-2021_19.05.08,75.9,25.8
932390,07-09-2021_19.05.38,75.9,25.8
932420,07-09-2021_19.06.09,75.9,25.8
932450,07-09-2021_19.06.39,75.9,25.8
